"escenario","n","n_disponible","potencia","efecto_detectable"
1,9.93784993051292,20,0.988591294779181,0.660441304538935
2,340.17633108918,400,0.859481279249932,0.140074574832069
3,63.7656104441373,70,0.83582226583951,0.476865058874006
4,18.2557872606229,20,0.834574942898196,0.885938474454252
5,9.93784993051292,40,0.999986833326894,0.454272502300984
6,52.3966016055946,60,0.854638091202712,0.233320725242576
7,31.6066000627322,40,0.89064655802651,0.287021897249067
8,32,40,0.881578093734976,NA
