"n_por_grupo","potencia"
5,0.153775655111272
6,0.183201894126887
7,0.213142812259523
8,0.24341188269538
9,0.273832702844499
10,0.304242152082476
11,0.334491790525749
12,0.364448280611668
13,0.393993265802033
14,0.423022923750497
15,0.451447322169353
16,0.479189658501182
17,0.50618542007343
18,0.532381513139917
19,0.557735374198159
20,0.58221408485772
21,0.605793501754828
22,0.628457416123461
23,0.650196738775112
24,0.671008729994054
25,0.690896267905323
26,0.709867161475337
27,0.727933508854759
28,0.745111101524916
29,0.761418873209337
30,0.77687839740131
31,0.791513421272042
32,0.805349448427806
33,0.818413358646566
34,0.83073306645095
35,0.842337215775727
36,0.853254908527297
37,0.863515464796805
38,0.873148212487106
39,0.882182303495931
40,0.89064655802651
41,0.898569325899813
42,0.905978374503688
43,0.912900792989366
44,0.919362914172195
45,0.925390251882922
46,0.931007452152995
47,0.936238256724117
48,0.941105477478846
49,0.945630980493549
50,0.94983567851698
51,0.953739530776218
52,0.957361549106102
53,0.960719809488347
54,0.963831467594346
55,0.966712780978357
56,0.969379128929073
57,0.971845040251609
58,0.974124220444911
59,0.976229580935766
60,0.978173269435464
61,0.979966701049529
62,0.981620589817777
63,0.983144980404806
64,0.984549279699832
65,0.985842288119963
66,0.987032230442731
67,0.988126786022196
68,0.989133118268445
69,0.990057903293046
70,0.990907357643178
71,0.991687265065016
72,0.992403002252653
73,0.993059563552484
74,0.993661584605005
75,0.994213364916268
76,0.994718888969535
77,0.995181848208314
78,0.995605658150849
79,0.995993478261138
80,0.99634822894878
81,0.996672607966375
82,0.996969105865407
83,0.997240020543747
84,0.997487470919483
85,0.997713409766815
86,0.997919635750497
87,0.99810780469546
88,0.998279440128344
89,0.998435943127272
90,0.998578601515698
91,0.998708598435474
92,0.998827020333364
93,0.998934864394282
94,0.999033045453445
95,0.999122402418422
96,0.999203704230944
97,0.99927765539698
98,0.999344901112417
99,0.99940603201033
100,0.999461588554609
